Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 18 07:44:34 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/oracle/board/attn/attn12-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         s01_entry_pipeline                             |                   design_1_gmem_0_s01_entry_pipeline_imp_12L1QOG |        262 |        261 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                            design_1_gmem_0_s01_nodes_imp_16E6SQ0 |        353 |        207 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                          design_1_gmem_0_switchboards_imp_UKQSUI |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     gpio0                                              |                                                 design_1_gpio0_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio0_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio0_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio0_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     gpio1                                              |                                                 design_1_gpio1_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio1_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio1_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio1_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     gpio2                                              |                                                 design_1_gpio2_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio2_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio2_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio2_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     gpio3                                              |                                                 design_1_gpio3_0 |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|       U0                                               |                                        design_1_gpio3_0_axi_gpio |         95 |         95 |       0 |    0 |   382 |      0 |      0 |    0 |          0 |
|         gpio_core_1                                    |                                       design_1_gpio3_0_GPIO_Core |         34 |         34 |       0 |    0 |   290 |      0 |      0 |    0 |          0 |
|         AXI_LITE_IPIF_I                                |                                   design_1_gpio3_0_axi_lite_ipif |         61 |         61 |       0 |    0 |    58 |      0 |      0 |    0 |          0 |
|     grsi                                               |                                                  design_1_grsi_0 |        106 |        106 |       0 |    0 |   202 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_grsi_0_axis_register_slice_v1_1_35_axis_register_slice |        106 |        106 |       0 |    0 |   202 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_grsi_0_axis_register_slice_v1_1_35_axisc_register_slice |        105 |        105 |       0 |    0 |   201 |      0 |      0 |    0 |          0 |
|     grso                                               |                                                  design_1_grso_0 |         46 |         46 |       0 |    0 |    80 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_grso_0_axis_register_slice_v1_1_35_axis_register_slice |         46 |         46 |       0 |    0 |    80 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_grso_0_axis_register_slice_v1_1_35_axisc_register_slice |         45 |         45 |       0 |    0 |    79 |      0 |      0 |    0 |          0 |
|     mem0                                               |                                                  design_1_mem0_0 |       2129 |       1556 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem0_0_bd_c310 |       2129 |       1556 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                     design_1_mem0_0_m00_exit_pipeline_imp_GOT2MZ |        283 |        277 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                             design_1_mem0_0_m00_nodes_imp_TZJG6V |        662 |        379 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                   design_1_mem0_0_s00_entry_pipeline_imp_1H0GSYG |        293 |        293 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                            design_1_mem0_0_s00_nodes_imp_1BD7JIA |        270 |        134 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
|         s01_entry_pipeline                             |                    design_1_mem0_0_s01_entry_pipeline_imp_A4FK98 |        263 |        262 |       0 |    1 |   685 |      0 |      0 |    0 |          0 |
|         s01_nodes                                      |                             design_1_mem0_0_s01_nodes_imp_FGLX4K |        352 |        206 |     146 |    0 |   383 |      0 |      0 |    0 |          0 |
|         switchboards                                   |                         design_1_mem0_0_switchboards_imp_1HMD66U |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     mem1                                               |                                                  design_1_mem1_0 |       2129 |       1556 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|       inst                                             |                                          design_1_mem1_0_bd_0341 |       2129 |       1556 |     564 |    9 |  4077 |      0 |      0 |    0 |          0 |
|         m00_exit_pipeline                              |                    design_1_mem1_0_m00_exit_pipeline_imp_1UKLVD0 |        283 |        277 |       0 |    6 |   851 |      0 |      0 |    0 |          0 |
|         m00_nodes                                      |                            design_1_mem1_0_m00_nodes_imp_1H8E4O8 |        664 |        381 |     282 |    1 |   729 |      0 |      0 |    0 |          0 |
|         s00_entry_pipeline                             |                    design_1_mem1_0_s00_entry_pipeline_imp_U6KGEF |        295 |        295 |       0 |    0 |   622 |      0 |      0 |    0 |          0 |
|         s00_nodes                                      |                             design_1_mem1_0_s00_nodes_imp_XPKXEL |        268 |        132 |     136 |    0 |   325 |      0 |      0 |    0 |          0 |
