Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 11 01:09:47 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/bitnet-kv260/hardware/trit19-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         switchboards                                   |                          design_1_mem3_0_switchboards_imp_8RJ3D2 |          0 |          0 |       0 |    0 |   452 |      0 |      0 |    0 |          0 |
|     periph                                             |                                                design_1_periph_0 |        815 |        815 |       0 |    0 |   759 |      0 |      0 |    0 |          0 |
|       inst                                             |                                        design_1_periph_0_bd_8523 |        815 |        815 |       0 |    0 |   759 |      0 |      0 |    0 |          0 |
|         sc_ul                                          |                                design_1_periph_0_bd_8523_sc_ul_0 |        815 |        815 |       0 |    0 |   759 |      0 |      0 |    0 |          0 |
|     rsi0                                               |                                                  design_1_rsi0_0 |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi0_0_axis_register_slice_v1_1_35_axis_register_slice |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi0_0_axis_register_slice_v1_1_35_axisc_register_slice |        135 |        135 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|     rsi1                                               |                                                  design_1_rsi1_0 |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi1_0_axis_register_slice_v1_1_35_axis_register_slice |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi1_0_axis_register_slice_v1_1_35_axisc_register_slice |        135 |        135 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|     rsi2                                               |                                                  design_1_rsi2_0 |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi2_0_axis_register_slice_v1_1_35_axis_register_slice |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi2_0_axis_register_slice_v1_1_35_axisc_register_slice |        135 |        135 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|     rsi3                                               |                                                  design_1_rsi3_0 |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rsi3_0_axis_register_slice_v1_1_35_axis_register_slice |        136 |        136 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         axisc_register_slice_0                         | design_1_rsi3_0_axis_register_slice_v1_1_35_axisc_register_slice |        135 |        135 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|     rso0                                               |                                                  design_1_rso0_0 |         46 |         46 |       0 |    0 |    80 |      0 |      0 |    0 |          0 |
|       inst                                             |  design_1_rso0_0_axis_register_slice_v1_1_35_axis_register_slice |         46 |         46 |       0 |    0 |    80 |      0 |      0 |    0 |          0 |
